node,sample,,index_sampled,rt_sampled,index,subj_idx,study,phase,trial,offer,fair_cat,rev_con,response,rt,rev_cat,rev_centered,fair_con
wfpt.1,1,50,147,1.1074860774534039,147,1,Victim,alone,183,1.2,unfair,,1,1.3229841299999,Alone,,1
wfpt.1,1,51,153,2.240502950914264,153,1,Victim,group,189,1.0,unfair,1.0,1,1.75967143100024,One,-1.0,1
wfpt.1,1,52,158,-0.904278208634028,158,1,Victim,group,195,0.5,unfair,0.0,0,-3.29773643199997,Zero,-3.0,1
wfpt.1,1,53,160,-1.319278208634028,160,1,Victim,group,197,0.4,unfair,0.0,0,-2.48310156700018,Zero,-3.0,1
wfpt.1,1,54,167,-0.8181396369342564,167,1,Victim,group,204,0.19999999999999898,unfair,1.0,1,1.7164352770000701,One,-1.0,1
wfpt.1,1,55,171,1.0641205523055746,171,1,Victim,group,208,1.0,unfair,2.0,1,1.03650961299991,Two,0.0,1
wfpt.1,1,56,174,0.9955609087781336,174,1,Victim,group,211,1.0,unfair,3.0,1,0.885543017000145,Three,1.0,1
wfpt.1,1,57,176,1.0661609087781336,176,1,Victim,group,213,0.800000000000001,unfair,3.0,1,1.2464671560001102,Three,1.0,1
wfpt.1,1,58,177,-3.1067396369342566,177,1,Victim,group,214,0.800000000000001,unfair,1.0,1,1.79794644899994,One,-1.0,1
wfpt.1,1,59,178,1.5363609087781338,178,1,Victim,group,215,0.0999999999999996,unfair,3.0,1,2.2786819159996403,Three,1.0,1
wfpt.1,1,60,182,0.6485844888477756,182,1,Victim,group,219,0.9,unfair,4.0,1,0.9425418410000931,Four,3.0,1
wfpt.1,1,61,183,2.323720552305575,183,1,Victim,group,220,0.30000000000000104,unfair,2.0,1,1.7835544930003402,Two,0.0,1
wfpt.1,1,62,185,1.1893609087781338,185,1,Victim,group,222,0.6,unfair,3.0,1,1.0902808979999499,Three,1.0,1
wfpt.1,1,63,186,1.7243844888477757,186,1,Victim,group,223,0.800000000000001,unfair,4.0,1,0.673259619000419,Four,3.0,1
wfpt.1,1,64,187,2.9713029509142643,187,1,Victim,group,224,1.0,unfair,1.0,1,2.9011245540000297,One,-1.0,1
wfpt.1,1,65,189,1.8477229718900672,189,1,Victim,group,226,0.9,unfair,0.0,0,-1.04578956900014,Zero,-3.0,1
wfpt.1,1,66,190,1.3427609087781338,190,1,Victim,group,227,1.1,unfair,3.0,1,1.09359047699991,Three,1.0,1
wfpt.1,1,67,191,0.9748860774534037,191,1,Victim,alone,228,1.0,unfair,,1,0.8756582969999731,Alone,,1
wfpt.1,1,68,197,2.882520552305575,197,1,Victim,group,234,0.6,unfair,2.0,1,1.26449812200008,Two,0.0,1
wfpt.1,1,69,198,0.9505609087781336,198,1,Victim,group,235,0.30000000000000104,unfair,3.0,1,0.582589133000056,Three,1.0,1
wfpt.1,1,70,200,-2.112678208634028,200,1,Victim,group,238,0.6,unfair,0.0,1,3.30847112999982,Zero,-3.0,1
wfpt.1,1,71,207,1.3791229718900673,207,1,Victim,group,246,1.2,unfair,0.0,0,-1.49180618299988,Zero,-3.0,1
wfpt.1,1,72,215,1.001486077453404,215,1,Victim,alone,255,0.9,unfair,,1,1.26734938100026,Alone,,1
wfpt.1,1,73,216,2.317760908778134,216,1,Victim,group,256,1.0,unfair,3.0,1,0.9428184550001791,Three,1.0,1
wfpt.1,1,74,220,1.2583609087781338,220,1,Victim,group,260,0.5,unfair,3.0,1,0.8277591629998821,Three,1.0,1
wfpt.1,1,75,221,2.5367029509142642,221,1,Victim,group,261,1.1,unfair,1.0,1,0.663900784999896,One,-1.0,1
wfpt.1,1,76,222,2.421122971890067,222,1,Victim,group,262,1.3,unfair,0.0,1,1.68029501300043,Zero,-3.0,1
wfpt.1,1,77,228,0.8357205523055746,228,1,Victim,group,268,0.6,unfair,2.0,1,1.5934958309999299,Two,0.0,1
wfpt.1,1,78,231,-2.4210782086340283,231,1,Victim,group,272,0.699999999999999,unfair,0.0,1,1.34199954999985,Zero,-3.0,1
wfpt.1,1,79,233,1.7505029509142642,233,1,Victim,group,274,0.699999999999999,unfair,1.0,1,1.4097690930002498,One,-1.0,1
